RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
78276,46793,IN,Auburn,De Kalb,Waterloo,11404,104431,0.000526941,0.001361601,0.099227401,0.052490212,0.010501368,2018-03,2018-Q1,104431,0,2018-03
65437,18347,PA,East Stroudsburg,Monroe,Pocono Lake,11405,111085,0.002391265,0.022336137,0.064756683,-0.002953352,-0.025387548,2007-08,2007-Q3,149013,-0.254528128,2005-03
73742,36091,AL,Birmingham,Chilton,Verbena,11406,116894,0.005237133,0.006474833,0.036487289,0.049040806,0.05039995,2018-03,2018-Q1,116894,0,2018-03
84764,61019,IL,Freeport,Stephenson,Davis,11407,142325,0.004509973,0.012787487,0.188458198,0.048810816,-0.007113545,2007-09,2007-Q3,156028,-0.08782398,2006-11
87096,66092,KS,Ottawa,Franklin,Wellsville,11408,151210,0.000688259,0.008961279,0.047828256,0.03480949,0.013807053,2018-03,2018-Q1,151210,0,2018-03
62780,12835,NY,Albany,Saratoga,Day,11409,170049,0.012196429,0.027306393,0.002736091,0.033859737,0.011010758,2017-09,2017-Q3,171295,-0.007274001,2017-08
61061,08343,NJ,Philadelphia,Gloucester,Elk,11410,196157,0.005644533,0.022076907,0.050276548,0.015696842,-0.009302531,2006-02,2006-Q1,240653,-0.184896926,2005-06
79702,49336,MI,Big Rapids,Mecosta,Morley,11411,63447,7.88121E-05,-0.003486783,0.113378725,0.069253337,-0.000998482,2006-12,2006-Q4,67662,-0.062294937,2006-02
63343,13862,NY,Binghamton,Broome,Barker,11412,113058,6.1919E-05,0.013355084,0.174469942,0.023352003,0.001735931,2018-03,2018-Q1,113058,0,2018-03
59183,03753,NH,Claremont,Sullivan,Grantham,11413,247754,-0.004424263,-0.008218345,0.017917524,0.018765785,-0.015986336,2006-04,2006-Q2,309006,-0.198222688,2004-02
79191,48418,MI,Owosso,Shiawassee,Byron,11414,162246,0.007939466,0.024539025,0.187562673,0.105902748,0.029892785,2018-03,2018-Q1,162246,0,2018-03
64183,15610,PA,Pittsburgh,Fayette,Bullskin,11415,141757,-0.007484632,-0.003402676,0.026577448,0.023534623,0.029921447,2018-01,2018-Q1,143191,-0.010014596,2017-12
59794,05055,VT,Claremont,Windsor,Norwich,11416,450134,0.001952112,0.00377754,0.052600318,0.038176497,0.008061214,2006-12,2006-Q4,455352,-0.011459267,2006-11
86384,64150,MO,Kansas City,Platte,Riverside,11417,213165,-0.002424152,0.003341884,0.025112651,0.056418231,0.01833834,2016-09,2016-Q3,216095,-0.013558851,2016-08
58451,01612,MA,Worcester,Worcester,Paxton,11418,316624,-0.000167363,0.005998678,0.088709705,0.053473661,0.011541979,2005-10,2005-Q4,328639,-0.036559873,2005-02
81994,54945,WI,,Waupaca,Iola,11419,131444,-0.001564755,-0.00550045,0.025800309,0.025695484,0.0033758,2017-12,2017-Q4,132171,-0.00550045,2017-11
85260,62014,IL,St. Louis,Macoupin,Bunker Hill,11420,89537,0.008651669,0.028227242,0.147777821,0.036585415,0.006992893,2018-03,2018-Q1,89537,0,2018-03
69291,27311,NC,,Caswell,Pelham,11421,69164,0.002042797,0.006373134,0.110836291,0.005079086,-0.003534773,2001-01,2001-Q1,85670,-0.192669546,
68633,25514,WV,Huntington,Wayne,Fort Gay,11422,57365,0.009876065,0.04509018,0.051488379,0.025401968,0.016274784,2016-09,2016-Q3,57502,-0.002382526,2016-09
81150,53020,WI,Sheboygan,Sheboygan,Elkhart Lake,11423,221505,0.0107968,0.038067878,0.075888499,0.042405474,0.004210464,2018-03,2018-Q1,221505,0,2018-03
98329,95634,CA,Sacramento,El Dorado,Georgetown,11424,340532,-0.003237345,0.002906831,0.067742775,0.106116256,0.004284779,2006-01,2006-Q1,385337,-0.116274845,2005-01
65204,17834,PA,Sunbury,Northumberland,Kulpmont,11425,41888,-0.006451613,0.00028656,0.005593566,0.024838882,0.002360378,2018-01,2018-Q1,42231,-0.008121996,2018-01
73274,35033,AL,Cullman,Cullman,Bremen,11426,154380,0.020829201,0.073268401,0.185295518,0.070650171,0.031838293,2018-03,2018-Q1,154380,0,2018-03
